municipio,abertura,fechamento,atividade,porte,natureza juridica
Alto Longá,2003-09-20,,CONSTRUÇÃO,media/grande,Sociedade Simples Limitada
Altos,2021-03-31,2016-03-28,CONSTRUÇÃO,mei,EI – Empresário Individual
Alvorada do Gurguéia,2005-04-08,2023-03-15,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,EI – Empresário Individual
Amarante,2023-04-25,2018-08-03,CONSTRUÇÃO,media/grande,Eireli
Angical do Piauí,2016-12-04,2009-12-06,COMÉRCIO,me,EI – Empresário Individual
Anísio de Abreu,2009-04-13,2024-04-18,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,EI – Empresário Individual
Antônio Almeida,2009-06-06,2000-08-14,CONSTRUÇÃO,me,Sociedade Simples Limitada
Aroazes,2006-07-26,2021-04-12,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",me,MEI – Microempreendedor Individual
Aroeiras do Itaim,2005-01-17,2018-07-14,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",media/grande,MEI – Microempreendedor Individual
Arraial,2019-06-27,2002-07-28,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Simples Limitada
Assunção do Piauí,2007-06-25,2019-06-16,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Eireli
Avelino Lopes,2001-11-22,2015-07-04,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,Sociedade Anônima
Baixa Grande do Ribeiro,2021-11-12,2006-08-07,COMÉRCIO,me,Sociedade Simples Limitada
Barra d'Alcântara,2015-12-05,2004-02-10,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Sociedade Simples Limitada
Barras,2015-05-10,2023-12-09,ALOJAMENTO E ALIMENTAÇÃO,mei,MEI – Microempreendedor Individual
Barro Duro,2019-03-08,2016-03-15,ELETRICIDADE E GÁS,mei,MEI – Microempreendedor Individual
Batalha,2012-08-08,,ELETRICIDADE E GÁS,mei,MEI – Microempreendedor Individual
Bela Vista do Piauí,2008-05-28,2016-07-08,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,Sociedade Simples Limitada
Belém do Piauí,2021-10-08,2011-04-04,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,EI – Empresário Individual
Beneditinos,2012-06-17,,ATIVIDADES IMOBILIÁRIAS,pequena,EI – Empresário Individual
Bertolínia,2015-11-16,2011-09-06,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,Sociedade Anônima
Betânia do Piauí,2017-12-31,2002-09-09,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,MEI – Microempreendedor Individual
Boa Hora,2013-04-26,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,Sociedade Simples Limitada
Bocaina,2014-06-20,2018-09-12,INFORMAÇÃO E COMUNICAÇÃO,mei,EI – Empresário Individual
Bom Jesus,2005-08-18,2016-04-30,ATIVIDADES IMOBILIÁRIAS,mei,EI – Empresário Individual
Bom Princípio do Piauí,2011-11-27,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Sociedade Simples Limitada
Bonfim do Piauí,2020-04-13,2017-05-23,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,MEI – Microempreendedor Individual
Boqueirão do Piauí,2000-07-18,2018-03-14,CONSTRUÇÃO,media/grande,EI – Empresário Individual
Brasileira,2016-02-11,2022-10-28,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,EI – Empresário Individual
Brejo do Piauí,2007-03-29,2005-01-05,ELETRICIDADE E GÁS,media/grande,EI – Empresário Individual
Buriti dos Lopes,2008-12-27,2013-12-22,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",pequena,Sociedade Anônima
Buriti dos Montes,2005-08-30,2010-04-29,CONSTRUÇÃO,pequena,Sociedade Simples Limitada
Cabeceiras do Piauí,2016-08-10,2017-12-18,EDUCAÇÃO,me,EI – Empresário Individual
Cajazeiras do Piauí,2016-12-09,2009-10-28,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Sociedade Anônima
Cajueiro da Praia,2017-10-16,2023-10-18,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,media/grande,Sociedade Simples Limitada
Caldeirão Grande do Piauí,2022-01-21,2020-08-27,CONSTRUÇÃO,pequena,Eireli
Campinas do Piauí,2005-10-26,,COMÉRCIO,me,EI – Empresário Individual
Campo Alegre do Fidalgo,2014-08-20,2003-03-06,CONSTRUÇÃO,pequena,MEI – Microempreendedor Individual
Campo Grande do Piauí,2023-06-06,2017-03-04,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,MEI – Microempreendedor Individual
Campo Largo do Piauí,2018-01-01,2014-05-13,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Sociedade Simples Limitada
Campo Maior,2007-09-22,2018-12-09,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Anônima
Canavieira,2017-02-08,2014-01-19,"TRANSPORTE, ARMAZENAGEM E CORREIO",pequena,Sociedade Simples Limitada
Canto do Buriti,2017-04-24,2012-11-20,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Sociedade Anônima
Capitão de Campos,2014-02-08,,SERVIÇOS DOMÉSTICOS,pequena,Eireli
Capitão Gervásio Oliveira,2009-07-29,2004-03-06,ALOJAMENTO E ALIMENTAÇÃO,mei,EI – Empresário Individual
Caracol,2015-04-02,,ATIVIDADES IMOBILIÁRIAS,me,EI – Empresário Individual
Caraúbas do Piauí,2002-04-03,2016-04-07,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,Sociedade Simples Limitada
Caridade do Piauí,2019-03-31,2018-07-01,ALOJAMENTO E ALIMENTAÇÃO,me,MEI – Microempreendedor Individual
Castelo do Piauí,2004-12-10,2005-09-20,COMÉRCIO,media/grande,Sociedade Simples Limitada
Caxingó,2004-01-15,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,MEI – Microempreendedor Individual
Cocal,2007-10-08,,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,EI – Empresário Individual
Cocal de Telha,2010-12-19,2007-07-26,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Eireli
Cocal dos Alves,2009-02-13,2024-02-24,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,Sociedade Anônima
Coivaras,2014-04-18,2009-07-27,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Eireli
Colônia do Gurguéia,2018-06-27,2014-11-11,CONSTRUÇÃO,pequena,MEI – Microempreendedor Individual
Colônia do Piauí,2000-10-30,2024-02-13,OUTRAS ATIVIDADES DE SERVIÇOS,mei,Sociedade Simples Limitada
Conceição do Canindé,2015-07-25,2015-05-07,INFORMAÇÃO E COMUNICAÇÃO,me,MEI – Microempreendedor Individual
Coronel José Dias,2005-08-04,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,MEI – Microempreendedor Individual
Corrente,2019-10-06,2012-12-18,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Sociedade Simples Limitada
Cristalândia do Piauí,2013-10-26,2019-11-26,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,EI – Empresário Individual
Cristino Castro,2021-08-08,2005-01-09,INDÚSTRIAS EXTRATIVAS,media/grande,Sociedade Anônima
Curimatá,2002-07-15,,CONSTRUÇÃO,mei,MEI – Microempreendedor Individual
Currais,2016-04-19,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Eireli
Curral Novo do Piauí,2019-03-07,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",pequena,EI – Empresário Individual
Curralinhos,2001-02-15,2022-07-06,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Sociedade Simples Limitada
Demerval Lobão,2000-10-21,,EDUCAÇÃO,media/grande,Sociedade Simples Limitada
Dirceu Arcoverde,2005-02-26,2014-03-08,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,Sociedade Simples Limitada
Dom Expedito Lopes,2020-09-12,2006-07-08,SERVIÇOS DOMÉSTICOS,pequena,EI – Empresário Individual
Dom Inocêncio,2022-09-28,2011-02-15,ATIVIDADES IMOBILIÁRIAS,media/grande,Eireli
Domingos Mourão,2018-10-21,,COMÉRCIO,pequena,Sociedade Simples Limitada
Elesbão Veloso,2020-11-05,2002-03-21,OUTRAS ATIVIDADES DE SERVIÇOS,me,Eireli
Eliseu Martins,2020-06-20,2024-06-16,ATIVIDADES IMOBILIÁRIAS,pequena,MEI – Microempreendedor Individual
Esperantina,2007-05-20,2022-12-11,INDÚSTRIAS EXTRATIVAS,pequena,Sociedade Simples Limitada
Fartura do Piauí,2019-03-22,2008-03-13,EDUCAÇÃO,mei,EI – Empresário Individual
Flores do Piauí,2014-05-24,2005-03-07,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,Eireli
Floresta do Piauí,2024-03-16,,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Simples Limitada
Floriano,2016-09-23,2009-08-25,SERVIÇOS DOMÉSTICOS,mei,Sociedade Simples Limitada
Francinópolis,2015-05-14,2024-05-23,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,Sociedade Simples Limitada
Francisco Ayres,2011-05-20,2023-12-20,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,Sociedade Simples Limitada
Francisco Macedo,2015-08-26,,EDUCAÇÃO,pequena,MEI – Microempreendedor Individual
Francisco Santos,2011-04-07,2009-01-13,EDUCAÇÃO,mei,Sociedade Simples Limitada
Fronteiras,2002-11-13,2019-09-17,COMÉRCIO,me,EI – Empresário Individual
Geminiano,2015-04-28,2018-10-19,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Simples Limitada
Gilbués,2014-07-20,2021-06-13,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,mei,Sociedade Simples Limitada
Guadalupe,2021-08-25,2016-10-15,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,MEI – Microempreendedor Individual
Guaribas,2019-03-23,2008-12-25,INFORMAÇÃO E COMUNICAÇÃO,pequena,EI – Empresário Individual
Hugo Napoleão,2013-11-22,2015-03-17,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",mei,EI – Empresário Individual
Ilha Grande,2014-08-06,,ALOJAMENTO E ALIMENTAÇÃO,mei,Eireli
Inhuma,2006-05-14,,SERVIÇOS DOMÉSTICOS,media/grande,Eireli
Ipirá,2018-03-02,2011-11-30,INDÚSTRIAS EXTRATIVAS,media/grande,Sociedade Simples Limitada
Isaías Coelho,2011-07-13,2021-03-27,COMÉRCIO,me,MEI – Microempreendedor Individual
Itainópolis,2019-06-02,2004-10-25,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,Sociedade Simples Limitada
Itaueira,2013-06-28,2001-06-28,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Eireli
Jacobina do Piauí,2011-01-03,,SERVIÇOS DOMÉSTICOS,pequena,EI – Empresário Individual
Jaicós,2006-07-07,2021-08-01,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,Sociedade Simples Limitada
Jardim do Mulato,2000-12-23,2017-12-02,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Eireli
Jatobá do Piauí,2005-04-25,2022-08-24,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,MEI – Microempreendedor Individual
Jerumenha,2007-09-15,2023-05-10,SERVIÇOS DOMÉSTICOS,me,EI – Empresário Individual
João Costa,2000-12-25,,INFORMAÇÃO E COMUNICAÇÃO,mei,Eireli
Joaquim Pires,2010-06-21,2013-05-23,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,Eireli
Joca Marques,2022-06-30,2002-05-16,CONSTRUÇÃO,mei,Sociedade Simples Limitada
José de Freitas,2014-04-16,2019-03-25,ALOJAMENTO E ALIMENTAÇÃO,pequena,EI – Empresário Individual
Juazeiro do Piauí,2002-06-12,2007-09-25,INDÚSTRIAS DE TRANSFORMAÇÃO,me,Sociedade Simples Limitada
Júlio Borges,2014-02-25,,EDUCAÇÃO,me,Sociedade Simples Limitada
Jurema,2004-02-11,2009-05-25,ATIVIDADES IMOBILIÁRIAS,media/grande,Eireli
Lagoa Alegre,2019-07-10,2009-08-15,CONSTRUÇÃO,media/grande,EI – Empresário Individual
Lagoa de São Francisco,2002-03-15,2012-08-27,ATIVIDADES IMOBILIÁRIAS,pequena,MEI – Microempreendedor Individual
Lagoa do Barro do Piauí,2004-01-12,2002-12-09,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,EI – Empresário Individual
Lagoa do Piauí,2006-01-10,,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Eireli
Lagoa do Sítio,2007-08-13,2018-05-16,SERVIÇOS DOMÉSTICOS,media/grande,MEI – Microempreendedor Individual
Lagoinha do Piauí,2012-08-11,2001-07-11,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Sociedade Simples Limitada
Landri Sales,2020-03-09,2006-03-09,COMÉRCIO,pequena,Sociedade Simples Limitada
Luís Correia,2006-06-01,2005-07-11,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,EI – Empresário Individual
Luzilândia,2015-10-22,2012-07-29,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Simples Limitada
Madeiro,2012-12-12,2007-05-11,INFORMAÇÃO E COMUNICAÇÃO,media/grande,Sociedade Simples Limitada
Manoel Emídio,2009-10-15,,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",mei,Eireli
Marcolândia,2001-11-20,2023-07-09,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Sociedade Anônima
Marcos Parente,2019-03-28,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,EI – Empresário Individual
Massapê do Piauí,2020-03-19,2004-11-23,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Eireli
Matias Olímpio,2007-09-25,,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,Sociedade Simples Limitada
Miguel Alves,2005-04-12,,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,Sociedade Simples Limitada
Miguel Leão,2000-12-04,,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Sociedade Simples Limitada
Milton Brandão,2017-01-28,2021-06-19,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Simples Limitada
Monsenhor Gil,2002-02-25,2022-07-27,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",pequena,Eireli
Monsenhor Hipólito,2009-02-09,2009-11-07,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,Sociedade Anônima
Monte Alegre do Piauí,2020-08-07,2021-07-27,ALOJAMENTO E ALIMENTAÇÃO,pequena,Eireli
Morro Cabeça no Tempo,2014-05-15,2008-04-27,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Sociedade Simples Limitada
Morro do Chapéu do Piauí,2018-04-07,2008-04-30,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",mei,EI – Empresário Individual
Murici dos Portelas,2002-04-26,2003-05-02,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,MEI – Microempreendedor Individual
Nazaré do Piauí,2008-09-05,2019-07-09,COMÉRCIO,mei,MEI – Microempreendedor Individual
Nossa Senhora de Nazaré,2021-10-22,,ELETRICIDADE E GÁS,me,Sociedade Simples Limitada
Nossa Senhora dos Remédios,2014-09-09,2019-08-05,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",me,Eireli
Nova Santa Rita,2001-02-18,2019-03-30,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,EI – Empresário Individual
Novo Oriente do Piauí,2010-03-12,2015-07-06,SAÚDE HUMANA E SERVIÇOS SOCIAIS,pequena,Sociedade Simples Limitada
Novo Santo Antônio,2014-07-12,2015-02-06,EDUCAÇÃO,pequena,Eireli
Oeiras,2000-10-13,2009-12-08,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,MEI – Microempreendedor Individual
Olho d'Água do Piauí,2010-10-16,,COMÉRCIO,media/grande,EI – Empresário Individual
Padre Marcos,2003-12-06,2014-05-10,ATIVIDADES IMOBILIÁRIAS,mei,Eireli
Paes Landim,2018-09-14,2012-10-29,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Anônima
Pajeú do Piauí,2014-10-13,2021-10-16,EDUCAÇÃO,media/grande,Sociedade Anônima
Palmeira do Piauí,2004-01-05,2010-09-12,ALOJAMENTO E ALIMENTAÇÃO,me,Sociedade Anônima
Palmeirais,2007-03-20,2017-03-18,CONSTRUÇÃO,pequena,MEI – Microempreendedor Individual
Paquetá,2023-01-06,2010-11-27,ALOJAMENTO E ALIMENTAÇÃO,me,MEI – Microempreendedor Individual
Parnaguá,2016-11-29,2018-07-07,ATIVIDADES IMOBILIÁRIAS,pequena,MEI – Microempreendedor Individual
Parnaíba,2007-08-16,2015-10-22,OUTRAS ATIVIDADES DE SERVIÇOS,media/grande,Sociedade Simples Limitada
Passagem Franca do Piauí,2024-02-12,2010-04-11,SAÚDE HUMANA E SERVIÇOS SOCIAIS,media/grande,Sociedade Simples Limitada
Patos do Piauí,2002-05-06,2020-10-30,EDUCAÇÃO,media/grande,Eireli
Pau d'Arco do Piauí,2022-11-01,2007-10-13,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",mei,Eireli
Paulistana,2017-07-13,2013-04-23,ELETRICIDADE E GÁS,pequena,EI – Empresário Individual
Pavussu,2000-09-02,2010-03-25,COMÉRCIO,media/grande,Sociedade Anônima
Pedro II,2024-05-10,,ALOJAMENTO E ALIMENTAÇÃO,me,Sociedade Simples Limitada
Pedro Laurentino,2008-07-30,2018-04-12,"TRANSPORTE, ARMAZENAGEM E CORREIO",mei,Sociedade Simples Limitada
Picos,2010-01-11,2016-02-19,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,EI – Empresário Individual
Pimenteiras,2014-11-11,2008-09-20,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",media/grande,Sociedade Simples Limitada
Pio IX,2003-06-15,2016-10-05,EDUCAÇÃO,media/grande,Sociedade Simples Limitada
Piracuruca,2020-11-12,2016-04-18,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",media/grande,EI – Empresário Individual
Piripiri,2007-08-09,2012-06-24,CONSTRUÇÃO,pequena,Sociedade Simples Limitada
Porto,2001-05-16,,SERVIÇOS DOMÉSTICOS,me,MEI – Microempreendedor Individual
Porto Alegre do Piauí,2009-11-14,,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,pequena,Eireli
Prata do Piauí,2006-05-05,2012-09-29,INDÚSTRIAS DE TRANSFORMAÇÃO,media/grande,MEI – Microempreendedor Individual
Queimada Nova,2007-10-15,2005-05-19,COMÉRCIO,pequena,MEI – Microempreendedor Individual
Redenção do Gurguéia,2008-06-17,2005-05-18,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Anônima
Regeneração,2017-01-13,2018-01-26,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,EI – Empresário Individual
Riacho Frio,2020-04-29,2004-12-28,ALOJAMENTO E ALIMENTAÇÃO,media/grande,MEI – Microempreendedor Individual
Ribeira do Piauí,2015-06-23,2019-08-05,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,EI – Empresário Individual
Ribeiro Gonçalves,2002-06-03,2023-08-02,COMÉRCIO,media/grande,Sociedade Simples Limitada
Rio Grande do Piauí,2023-10-02,2008-01-15,CONSTRUÇÃO,me,Eireli
Santa Cruz do Piauí,2004-07-22,2022-05-19,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,MEI – Microempreendedor Individual
Santa Cruz dos Milagres,2017-11-26,2020-03-03,ALOJAMENTO E ALIMENTAÇÃO,mei,Sociedade Simples Limitada
Santa Filomena,2012-01-26,2003-05-27,CONSTRUÇÃO,mei,Sociedade Anônima
Santa Luz,2014-10-07,2018-01-03,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Simples Limitada
Santa Rosa do Piauí,2009-12-11,2020-12-14,ATIVIDADES IMOBILIÁRIAS,media/grande,EI – Empresário Individual
Santana do Piauí,2004-06-24,2023-12-04,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,MEI – Microempreendedor Individual
Santo Antônio de Lisboa,2003-06-07,2016-07-08,INFORMAÇÃO E COMUNICAÇÃO,me,EI – Empresário Individual
Santo Antônio dos Milagres,2000-07-25,2021-12-08,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",media/grande,EI – Empresário Individual
Santo Inácio do Piauí,2004-03-08,2023-10-13,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,EI – Empresário Individual
São Braz do Piauí,2002-06-20,2005-02-19,"TRANSPORTE, ARMAZENAGEM E CORREIO",media/grande,EI – Empresário Individual
São Félix do Piauí,2001-09-22,2010-06-15,SAÚDE HUMANA E SERVIÇOS SOCIAIS,mei,Sociedade Anônima
São Francisco de Assis do Piauí,2004-09-21,2020-12-21,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Simples Limitada
São Francisco do Piauí,2020-11-02,2008-12-22,ATIVIDADES IMOBILIÁRIAS,pequena,MEI – Microempreendedor Individual
São Gonçalo do Gurguéia,2018-06-07,2011-02-06,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,Eireli
São Gonçalo do Piauí,2010-09-26,2014-04-21,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,Eireli
São João da Canabrava,2014-03-27,2015-08-08,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",media/grande,EI – Empresário Individual
São João da Fronteira,2005-05-31,2019-04-12,OUTRAS ATIVIDADES DE SERVIÇOS,pequena,EI – Empresário Individual
São João da Serra,2010-08-18,2018-01-24,CONSTRUÇÃO,media/grande,MEI – Microempreendedor Individual
São João da Varjota,2012-10-31,,ALOJAMENTO E ALIMENTAÇÃO,me,EI – Empresário Individual
São João do Arraial,2020-01-17,,SERVIÇOS DOMÉSTICOS,me,Sociedade Simples Limitada
São João do Piauí,2002-12-01,2020-12-28,ALOJAMENTO E ALIMENTAÇÃO,media/grande,Sociedade Simples Limitada
São José do Divino,2022-06-23,,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,MEI – Microempreendedor Individual
São José do Peixe,2017-05-20,2023-05-30,CONSTRUÇÃO,mei,Sociedade Simples Limitada
São José do Piauí,2014-10-24,,CONSTRUÇÃO,media/grande,Sociedade Anônima
São Julião,2015-09-01,2002-05-29,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQUICULTURA",pequena,Sociedade Simples Limitada
São Lourenço do Piauí,2020-04-19,2016-09-19,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,MEI – Microempreendedor Individual
São Luis do Piauí,2021-04-12,2018-04-03,COMÉRCIO,mei,Sociedade Simples Limitada
São Miguel da Baixa Grande,2020-10-05,2006-07-16,INDÚSTRIAS EXTRATIVAS,pequena,Sociedade Simples Limitada
São Miguel do Fidalgo,2010-06-11,2014-12-11,"ADMINISTRAÇÃO PÚBLICA, DEFESA E SEGURIDADE SOCIAL",me,Eireli
São Miguel do Tapuio,2020-04-03,,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Simples Limitada
São Pedro do Piauí,2008-07-16,2001-03-23,SERVIÇOS DOMÉSTICOS,pequena,Sociedade Simples Limitada
São Raimundo Nonato,2000-08-25,2014-01-28,COMÉRCIO,pequena,MEI – Microempreendedor Individual
Sebastião Barros,2016-05-14,2017-03-28,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,Sociedade Anônima
Sebastião Leal,2019-04-13,2001-04-10,"ÁGUA, ESGOTO, ATIVIDADES DE GESTÃO DE RESÍDUOS E DESCONTAMINAÇÃO",pequena,Eireli
Sigefredo Pacheco,2003-04-05,2017-08-05,EDUCAÇÃO,media/grande,Sociedade Simples Limitada
Simões,2009-08-26,,"TRANSPORTE, ARMAZENAGEM E CORREIO",me,Sociedade Simples Limitada
Simplício Mendes,2001-07-05,2013-09-29,COMÉRCIO,me,MEI – Microempreendedor Individual
Socorro do Piauí,2020-04-04,2008-01-05,ATIVIDADES ADMINISTRATIVAS E SERVIÇOS COMPLEMENTARES,me,Sociedade Simples Limitada
Sussuapara,2001-01-10,2010-03-05,SAÚDE HUMANA E SERVIÇOS SOCIAIS,me,Sociedade Simples Limitada
Tamboril do Piauí,2017-08-19,2020-04-06,SERVIÇOS DOMÉSTICOS,pequena,Eireli
Tanque do Piauí,2011-05-28,2008-03-07,INFORMAÇÃO E COMUNICAÇÃO,media/grande,Sociedade Anônima
Teresina,2007-11-22,2021-01-20,OUTRAS ATIVIDADES DE SERVIÇOS,me,Sociedade Simples Limitada
União,2007-06-10,2021-04-11,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,MEI – Microempreendedor Individual
Uruçuí,2019-05-14,,ELETRICIDADE E GÁS,mei,Eireli
Valença do Piauí,2004-08-19,2012-01-18,"ATIVIDADES FINANCEIRAS, DE SEGUROS E SERVIÇOS RELACIONADOS",me,MEI – Microempreendedor Individual
Várzea Branca,2009-11-13,,ATIVIDADES IMOBILIÁRIAS,media/grande,Sociedade Anônima
Várzea Grande,2021-05-20,2020-05-20,"ARTES, CULTURA, ESPORTE E RECREAÇÃO",mei,Sociedade Simples Limitada
Vera Mendes,2022-10-03,2022-10-26,INDÚSTRIAS DE TRANSFORMAÇÃO,mei,Sociedade Simples Limitada
Vila Nova do Piauí,2008-01-17,,INDÚSTRIAS DE TRANSFORMAÇÃO,pequena,EI – Empresário Individual
Wall Ferraz.,2013-12-10,2010-05-26,"ATIVIDADES PROFISSIONAIS, CIENTÍFICAS E TÉCNICAS",me,MEI – Microempreendedor Individual
Acauã,2013-04-05,2006-07-12,SERVIÇOS DOMÉSTICOS,media/grande,Sociedade Anônima
Agricolândia,2009-04-04,2011-03-04,INFORMAÇÃO E COMUNICAÇÃO,mei,Sociedade Simples Limitada
Água Branca,2022-05-15,2019-03-19,CONSTRUÇÃO,pequena,Sociedade Anônima
